City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Christchurch,NZ,-43.5333,172.6333,43.92,66,100,1.14,overcast clouds
287,Leningradskiy,RU,69.3833,178.4167,39.63,91,100,6.96,light rain
288,Solginskiy,RU,61.05,41.3428,64.89,65,79,6.46,light rain
289,Garowe,SO,8.4054,48.4845,86.65,39,19,34.54,few clouds
290,Richards Bay,ZA,-28.783,32.0377,71.01,57,0,10.33,clear sky
291,Altus,US,34.6381,-99.334,82.96,52,0,8.05,clear sky
292,Fourmies,FR,50.0153,4.0478,70.38,33,9,5.99,clear sky
293,Whitehorse,CA,60.7161,-135.0538,51.03,87,100,13.8,light intensity shower rain
294,Bend,US,44.0582,-121.3153,61.48,74,0,1.01,clear sky
295,Bengbu,CN,32.9408,117.3608,85.3,73,38,14.97,scattered clouds
296,Ca Mau,VN,9.1769,105.15,87.51,62,75,11.63,broken clouds
297,Ahmadpur,IN,18.7,76.9333,82.83,66,100,13.31,overcast clouds
298,Luderitz,NA,-26.6481,15.1594,71.53,29,0,9.82,clear sky
299,Ust-Nera,RU,64.5667,143.2,77.36,53,100,3.62,overcast clouds
300,Necochea,AR,-38.5473,-58.7368,38.95,63,6,15.48,clear sky
301,Taltal,CL,-25.4,-70.4833,54.73,58,0,3.36,clear sky
302,Kruisfontein,ZA,-34.0033,24.7314,72.88,24,0,17.02,clear sky
303,Neiafu,TO,-18.65,-173.9833,78.8,66,0,19.89,clear sky
304,Gopalpur,IN,19.2667,84.9167,80.74,87,100,12.41,heavy intensity rain
305,Xuddur,SO,4.1213,43.8894,81.73,41,99,26.6,overcast clouds
306,Saint-Augustin,CA,51.226,-58.6502,56.44,82,99,4.29,overcast clouds
307,Tarabha,IN,20.7333,83.65,84.16,78,89,7.61,overcast clouds
308,Srednekolymsk,RU,67.45,153.6833,58.05,39,62,17.58,broken clouds
309,Kattivakkam,IN,13.2167,80.3167,91.49,70,100,14.09,light rain
310,Yinchuan,CN,38.4681,106.2731,89.71,15,97,8.43,overcast clouds
311,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,89,59,5.12,broken clouds
312,Iberia,US,29.9502,-91.7507,78.87,87,2,0.43,clear sky
313,Monterey,US,36.2505,-121.2516,72.18,30,0,5.68,clear sky
314,Moshupa,BW,-24.7782,25.4155,56.97,56,0,5.3,clear sky
315,Wolmirstedt,DE,52.25,11.6333,62.78,55,85,7.29,overcast clouds
316,Prince Rupert,CA,54.3161,-130.3201,53.29,92,0,6.91,clear sky
317,Camacupa,AO,-12.0167,17.4833,62.62,38,21,7.18,few clouds
318,Salym,RU,60.0625,71.4789,75.6,32,8,11.39,clear sky
319,Viru,PE,-8.4167,-78.75,61.63,83,22,2.55,few clouds
320,Kudahuvadhoo,MV,2.6708,72.8944,81.63,73,96,1.79,overcast clouds
321,Kalmunai,LK,7.4167,81.8167,88.97,56,100,10.0,overcast clouds
322,Arsikere,IN,13.3139,76.2561,79.11,64,100,18.41,overcast clouds
323,Hudson Bay,CA,52.85,-102.3842,68.0,88,0,7.2,clear sky
324,Addison,US,41.9317,-87.989,70.74,90,75,8.05,broken clouds
325,Spirit River,CA,55.7833,-118.8361,52.23,61,18,7.31,few clouds
326,Capljina,BA,43.1214,17.6844,91.54,35,17,9.28,few clouds
327,Terrace,CA,54.5163,-128.6035,57.11,88,75,6.91,broken clouds
328,Sioux Falls,US,43.55,-96.7003,66.09,94,0,0.0,clear sky
329,Onufriyivka,UA,48.9072,33.4487,59.22,92,100,10.96,moderate rain
330,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,65,0,14.97,clear sky
331,Tuy Hoa,VN,13.0833,109.3,90.7,62,77,7.54,broken clouds
332,Husavik,IS,66.0449,-17.3389,46.69,98,100,8.72,overcast clouds
333,Xining,CN,36.6167,101.7667,54.43,84,100,1.83,overcast clouds
334,Mogok,MM,22.9167,96.5,80.53,64,100,3.98,overcast clouds
335,Vao,NC,-22.6667,167.4833,69.4,64,100,21.56,overcast clouds
336,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,75,11.5,light rain
337,Santa Rosa,PH,14.3122,121.1114,87.03,69,100,4.63,overcast clouds
338,Muisne,EC,0.6,-80.0333,73.31,88,99,6.51,overcast clouds
339,Beloha,MG,-25.1667,45.05,76.75,47,0,17.29,clear sky
340,Viedma,AR,-40.8135,-62.9967,35.64,73,40,11.97,scattered clouds
341,Alofi,NU,-19.0595,-169.9187,75.09,78,16,10.36,few clouds
342,Wairoa,NZ,-39.0333,177.3667,45.55,80,3,1.01,clear sky
343,Satka,RU,55.0425,59.04,74.41,58,50,9.95,scattered clouds
344,Nelson Bay,AU,-32.7167,152.15,64.09,59,2,8.99,clear sky
345,Tessalit,ML,20.1986,1.0114,90.66,39,58,16.62,broken clouds
346,Prescott,US,34.54,-112.4685,77.36,45,0,4.0,clear sky
347,Kerrville,US,30.0474,-99.1403,78.55,76,75,3.44,broken clouds
348,Tura,IN,25.5198,90.2201,89.49,59,24,6.44,few clouds
349,Mandalgovi,MN,45.7625,106.2708,78.21,21,100,6.91,overcast clouds
