City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Labuhan,ID,81.61,light rain,-6.8844,112.2051,DoubleFAG
370,Mahibadhoo,MV,82.26,heavy intensity rain,3.7833,72.9667,Omadhoo Inn
372,Veraval,IN,84.04,overcast clouds,20.9,70.3667,Lords Inn Somnath
373,Kurumkan,RU,75.61,few clouds,54.3,110.3,Ilikchin
376,Kirando,TZ,76.96,clear sky,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
377,Shingu,JP,82.74,overcast clouds,33.7333,135.9833,Shingu UI Hotel
385,Cockburn Town,TC,81.43,clear sky,21.4612,-71.1419,Osprey Beach Hotel
386,Nagayo,JP,81.75,broken clouds,32.8242,129.8861,長与町消防団第八分団
389,Kupang,ID,80.56,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
391,Algiers,DZ,80.42,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
398,Chanika,TZ,75.81,broken clouds,-5.4167,38.0167,New Rombo Green Hotel
408,Luwuk,ID,81.39,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
409,Salisbury,GB,75.56,scattered clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
411,Arlit,NE,88.47,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
414,Malakal,SS,83.66,overcast clouds,9.5334,31.6605,Nile Palace Hotel
416,Westport,US,75.09,overcast clouds,41.1415,-73.3579,The Westport Inn
418,Alanya,TR,87.93,clear sky,36.5438,31.9998,Panorama Hotel
421,Biltine,TD,83.68,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
427,Dabou,CI,75.99,light rain,5.3256,-4.3769,Résidence N'Da
428,Pontianak,ID,87.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
438,Arak,IR,88.56,clear sky,34.0917,49.6892,Zagros Hotel
439,Ixtapa,MX,79.83,broken clouds,20.7,-105.2,hotel la terminal
445,Lorengau,PG,83.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
446,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Base Lodging
448,Gasa,PS,88.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
450,Nassau,US,75.07,overcast clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
451,Kirakira,SB,79.54,few clouds,-10.4544,161.9205,SanBiz Lodge
456,Poole,GB,75.38,clear sky,50.7167,-2.0,Poole Quay Hotel
458,Kuandian,CN,76.26,few clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
472,Red Bluff,US,79.48,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
473,Sulya,IN,80.6,heavy intensity rain,12.5667,75.3833,RIVER ISLAND LODGING
476,Payson,US,79.27,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
478,Marsaxlokk,MT,88.41,clear sky,35.8419,14.5431,Water's Edge
482,Matay,EG,88.56,clear sky,28.419,30.7792,Nag Aespen
483,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
489,Zaysan,KZ,89.04,overcast clouds,47.4667,84.8667,Ерлан үй
490,Lasa,IT,75.69,clear sky,46.6166,10.7002,Pension Feldgärtenhof
491,Samarai,PG,79.2,few clouds,-10.6167,150.6667,Nuli Sapi
492,Ramsar,IR,87.24,clear sky,36.9226,50.6426,Rasa Residential Hotel
497,Gunjur,GM,80.67,broken clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
499,Salalah,OM,80.69,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
500,Morozovsk,RU,87.91,clear sky,48.3539,41.8261,Gostinitsa
505,Mogadishu,SO,78.67,broken clouds,2.0371,45.3438,Hotel Juba
510,Sadove,UA,77.16,clear sky,46.2487,30.1795,Наша База
513,Yorba Linda,US,79.39,clear sky,33.8886,-117.8131,Fairfield Inn by Marriott Anaheim Hills Orange County
516,Payyannur,IN,82.15,moderate rain,12.1,75.2,Kavvayi Beach House
520,Avanigadda,IN,87.69,heavy intensity rain,16.0215,80.9181,AP Camping
521,Pasighat,IN,90.0,broken clouds,28.0667,95.3333,Siang Guest House
523,Catuday,PH,83.41,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
524,Conakry,GN,77.07,thunderstorm with light rain,9.538,-13.6773,Riviera Royal Hotel
525,Seoul,KR,85.39,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
526,Juba,SS,80.17,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
530,Kieta,PG,78.89,light rain,-6.2167,155.6333,Uruna Bay Retreat
533,Tabou,CI,75.51,overcast clouds,4.423,-7.3528,hotêl doufoulougou
534,Sabang,ID,83.55,scattered clouds,5.8933,95.3214,Hotel Citra
538,Kapit,MY,85.21,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
540,Astana,KZ,82.35,broken clouds,51.1801,71.446,King Hotel Astana
541,Buala,SB,80.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
542,Kushmurun,KZ,76.3,broken clouds,52.4503,64.6311,Gostinitsa Pri Depo
546,Alugan,PH,84.11,overcast clouds,12.2188,125.4808,JM Lodge
552,Vanimo,PG,77.16,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
553,Puerto El Triunfo,SV,77.05,overcast clouds,13.2833,-88.55,Hotel Jardin
556,Progreso,MX,77.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
564,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
568,Usiacuri,CO,79.32,scattered clouds,10.75,-74.9833,Casa Campestre VILLA ALICIA
573,Dzaoudzi,YT,80.49,broken clouds,-12.7887,45.2699,Le Rocher
574,Bahia Honda,CU,76.66,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
575,Khorinsk,RU,82.2,clear sky,52.1657,109.7726,Uda
576,Dali,CN,81.01,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
577,Nouakchott,MR,75.13,few clouds,18.0858,-15.9785,HOTEL IMAN
578,Nueva Gerona,CU,79.41,few clouds,21.8833,-82.8,Casa de la Alegria
579,Port Moresby,PG,80.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
584,Kilindoni,TZ,75.34,light rain,-7.9139,39.6668,Bustani B&B
589,Bugyi,HU,75.88,clear sky,47.2275,19.1466,Forster Vadászkastély és Szálloda
593,Sosnogorsk,RU,78.15,clear sky,63.6023,53.8817,Жемчужина
599,Zeya,RU,77.59,light rain,53.75,127.2667,Kapital Inn
601,Salina Cruz,MX,76.71,broken clouds,16.1667,-95.2,Amerik HOTEL
602,Acajutla,SV,77.95,overcast clouds,13.5928,-89.8275,Laureles
613,Qurayyat,SA,89.78,clear sky,31.3318,37.3428,Resorts Kandel
619,Kibala,TD,75.25,light rain,9.1104,18.3463,Prasant Hotels
623,Seybaplaya,MX,75.9,scattered clouds,19.65,-90.6667,sala de fiesta san Rafael
627,Point Pedro,LK,85.87,moderate rain,9.8167,80.2333,Gtr homes
631,Weligama,LK,83.75,overcast clouds,5.9667,80.4167,Weligama Bay Resort
633,Tekeli,KZ,87.55,scattered clouds,44.83,78.8239,Vuslat Tekeli
639,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
643,Muroto,JP,80.38,overcast clouds,33.2833,134.15,Oota Ryokan
644,Fernley,US,81.75,broken clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
645,Male,MV,84.15,moderate rain,4.1748,73.5089,Hotel Octave Maldives
648,Onverwacht,SR,75.85,fog,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
657,Linaon,PH,83.03,overcast clouds,9.9499,122.4483,Bee Gees Restobar
659,Neftcala,AZ,89.6,clear sky,39.3742,49.2472,Otel restoran
661,Nambiyur,IN,87.39,overcast clouds,11.3667,77.3333,City lodge A/C
662,Bokovskaya,RU,88.41,few clouds,49.229,41.8306,Gostinitsa Stanitsa
663,Banda Aceh,ID,86.09,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
665,Concarneau,FR,82.81,broken clouds,47.875,-3.9225,Brit Hotel de L' Océan
673,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
675,Booue,GA,82.76,broken clouds,-0.0921,11.9385,Splendeur de l'équateur
677,Srandakan,ID,80.31,light rain,-7.9386,110.2506,Puri Brata
